case,WT_dice,WT_hd95,TC_dice,TC_hd95,ET_dice,ET_hd95,Avg_dice,Avg_hd95
BraTS-GLI-01179-000,0.7888103769688445,6.480740698,0.0,50.0,0.0,50.0,0.26293679232294814,35.49358023280262
BraTS-GLI-01439-000,0.8437456596016556,3.1622776601683795,0.010394569367840474,11.40175425099138,0.0,50.0,0.28471340965649866,21.521343970386585
BraTS-GLI-01535-000,0.9551606404812121,1.4142135623730951,0.003837953,22.15851980616034,0.0,50.0,0.3196661978576322,24.52424445617781
BraTS-GLI-01534-000,0.876152558,29.631064780058107,0.086888163,28.460498941515414,0.0,50.0,0.3210135736159097,36.03052124052451
BraTS-GLI-00380-000,0.9497524491730749,1.7320508075688772,0.033596838,7.810249675906654,0.033596838,7.810249675906654,0.33898204168746765,5.784183386460728
BraTS-GLI-01664-000,0.9641409603131728,2.449489742783178,0.10901162017709469,19.209372712298546,0.11720110644401188,34.55936851833281,0.3967845623114265,18.73941032447151
BraTS-GLI-00021-000,0.8222590486675138,4.358898943540674,0.2310177705977383,18.439088914585774,0.22413793103448276,18.05547008526779,0.4258049167665782,13.617819314464745
BraTS-GLI-01433-000,0.8900832252877393,3.605551275463989,0.5723046902223151,38.622531827943845,0.0,50.0,0.48746263850335153,30.742694367802613
BraTS-GLI-01531-000,0.9116173022735583,5.385164807134504,0.4095820642764164,16.30950643030009,0.25776780706674146,16.29723209661992,0.5263223912055721,12.66396777801817
BraTS-GLI-01508-000,0.8315494000431846,10.246950765959598,0.6068602891936804,16.788385472320652,0.2742040285899935,14.912944685757017,0.5708712392756196,13.982760308012423
BraTS-GLI-01499-000,0.9463478015714444,1.7320508075688772,0.7854605228272973,4.582575695,0.0,50.0,0.5772694414662473,18.77154216750824
BraTS-GLI-01103-000,0.9683400577639615,1.4142135623730951,0.7437292543544468,7.0,0.046980793,19.72308292331602,0.5863500350882466,9.379098829
BraTS-GLI-00540-000,0.8184644371172869,5.477225575051661,0.47577092511013214,29.291145188452116,0.48214285714285715,29.110116224199064,0.5921260731234254,21.292828995900948
BraTS-GLI-00768-001,0.9304682948689222,5.477225575051661,0.31070413640669403,27.953531498266187,0.557383395,27.391599634534895,0.5995186086317728,20.274118902617584
BraTS-GLI-00033-000,0.9605035287983464,5.477225575051661,0.28739542153167236,34.314717554307364,0.5755846068863929,12.24744871391589,0.6078278524054705,17.346463947758306
BraTS-GLI-01512-000,0.9232250628217152,8.602325267042627,0.8998806107701652,4.123105625617661,0.001874414,21.785308408349003,0.6083266959458096,11.503579767003098
BraTS-GLI-01524-000,0.9575028832787374,2.236067977,0.8911221533632343,5.0,0.0,50.0,0.616208346,19.078689325833263
BraTS-GLI-01364-000,0.16414095307650173,25.15949125081825,0.9056192034915439,1.0,0.8566493955094991,1.4142135623730951,0.6421365173591816,9.191234937730448
BraTS-GLI-01478-000,0.8787873106344682,16.30950643030009,0.6962290072055402,10.392304845413264,0.37407178217821785,25.019992006393608,0.6496960333394087,17.240601094035654
BraTS-GLI-00014-000,0.8173818831349468,6.4031242374328485,0.5816970949592376,11.357816691600547,0.5794504181600956,11.213814092116106,0.6595097987514267,9.658251673716501
